name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"trento, Italy",2007-02-02T00:00:00,-2,-8,-12.6,44.03,0,0,,0,39.33,,21.6,56,1026.1,10,39.2,,,,,Clear,clear-night,"16089099999,16022099999,16090099999"
"trento, Italy",2007-02-02T01:00:00,-2.5,-8.2,-12.1,47.72,0,0,,0,39.29,,19.1,53,,28.9,38.3,,,,,Partially cloudy,partly-cloudy-night,"16089099999,16022099999,16090099999,16021099999"
"trento, Italy",2007-02-02T02:00:00,-2.7,-8.9,-11.9,49.25,0,0,,0,39.25,,21.6,44,1027.1,30,39.2,,,,,Partially cloudy,partly-cloudy-night,"16089099999,16022099999,16090099999"
"trento, Italy",2007-02-02T03:00:00,-2.2,-8,-11.5,48.96,0,0,,0,39.21,,19.8,14,1027.1,60,29.4,,,,,Partially cloudy,partly-cloudy-night,"16089099999,16022099999,16090099999"
"trento, Italy",2007-02-02T04:00:00,-2.8,-8.6,-11.1,52.46,0,0,,0,39.17,,19.2,17,,87.1,28.9,,,,,Partially cloudy,partly-cloudy-night,"16089099999,16022099999,16090099999,16021099999"
"trento, Italy",2007-02-02T05:00:00,-2.8,-8.3,-11.6,50.61,0,0,,0,39.12,,17.1,18,1024.8,88.2,28.7,,,,,Partially cloudy,partly-cloudy-night,"16089099999,16022099999,16090099999,16021099999"
"trento, Italy",2007-02-02T06:00:00,-2.8,-8.2,-11.6,50.49,0,0,,0,39.08,,17.1,19,1024.8,78.4,28.7,,,,,Partially cloudy,partly-cloudy-night,"16089099999,16022099999,16090099999,16021099999"
"trento, Italy",2007-02-02T07:00:00,-2.2,-2.2,-11.2,50,0,0,,0,39.04,,1.7,134,,0,37.4,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16021099999,16094099999"
"trento, Italy",2007-02-02T08:00:00,-1.9,-3.7,-9.5,55.75,0,0,,0,39,,5,66,1025.9,1.8,37.2,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16021099999,16094099999"
"trento, Italy",2007-02-02T09:00:00,-1.1,-1.1,-10.3,49.69,0,0,"rain,snow",0.04,39.04,,1.9,105,1026.8,1.8,46.4,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16021099999,16094099999"
"trento, Italy",2007-02-02T10:00:00,-0.3,-3.2,-9.3,50.76,0,0,"rain,snow",0.04,39.08,,8.6,4,,1.9,48.6,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16021099999,16094099999"
"trento, Italy",2007-02-02T11:00:00,0.2,-4.5,-7.4,56.41,0,0,"rain,snow",0.04,39.13,,17,9,1027.6,0.6,55.6,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16021099999,16094099999"
"trento, Italy",2007-02-02T12:00:00,0.2,-3.5,-7.2,57.56,0,0,"rain,snow",0.04,39.17,,12,34,1027.6,0,55.6,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16021099999,16094099999"
"trento, Italy",2007-02-02T13:00:00,0.5,-3.2,-7,57.07,0,0,"rain,snow",0.04,39.21,,12.2,19,,0,57.8,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16021099999,16094099999"
"trento, Italy",2007-02-02T14:00:00,0.4,-2.2,-6,62.18,0,0,"rain,snow",0.04,39.25,,7.5,360,1026.4,0,55.6,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16021099999,16094099999"
"trento, Italy",2007-02-02T15:00:00,0.5,0.5,-6,61.49,0,0,"rain,snow",0.04,39.29,,3.6,29,1026.4,0,55.6,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16021099999,16094099999"
"trento, Italy",2007-02-02T16:00:00,0.6,0.6,-5.5,63.7,0,0,"rain,snow",0.04,39.33,,0.4,225,,0,57.8,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16021099999,16094099999"
"trento, Italy",2007-02-02T17:00:00,0.5,0.5,-5.5,64.09,0,0,"rain,snow",0.04,39.38,,0.3,230,1026,0,55.5,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16021099999,16094099999"
"trento, Italy",2007-02-02T18:00:00,0.1,-2.9,-6.1,63.22,0,0,"rain,snow",0.04,39.42,,8.9,15,1025.5,1.8,47.6,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16021099999"
"trento, Italy",2007-02-02T19:00:00,0.1,-3.3,-5.9,64.12,0,0,"rain,snow",0.04,39.46,,10.5,348,,0,48,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16021099999"
"trento, Italy",2007-02-02T20:00:00,0.1,-4.1,-5.9,64.03,0,0,"rain,snow",0.04,39.5,,14.4,356,1028.1,0,49,,,,,Clear,clear-night,"16089099999,16022099999,16090099999"
"trento, Italy",2007-02-02T21:00:00,0.1,-5.3,-5.1,67.91,0,0,"rain,snow",0.04,39.54,,21.5,359,1028.1,0,39.2,,,,,Clear,clear-night,"16089099999,16022099999,16090099999"
"trento, Italy",2007-02-02T22:00:00,-0.4,-6.3,-5.9,66.62,0,0,"rain,snow",0.04,39.58,,24.1,9,,0,38.5,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16021099999"
"trento, Italy",2007-02-02T23:00:00,-1.3,-7.3,-5.4,73.32,0,0,"rain,snow",0.04,39.63,,23.2,18,1028.1,0,39.2,,,,,Clear,clear-night,"16089099999,16022099999,16090099999"
"trento, Italy",2007-02-03T00:00:00,-1.7,-8.1,-5.6,74.86,0,0,"rain,snow",0.04,39.67,,25,16,1028.1,0,39.2,,,,,Clear,clear-night,"16089099999,16022099999,16090099999"
"trento, Italy",2007-02-03T01:00:00,-1.4,-8,-5.4,74.08,0,0,"rain,snow",0.04,39.71,,27.5,11,,0,38.5,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16021099999"
"trento, Italy",2007-02-03T02:00:00,-1.6,-8.1,-5.2,76.51,0,0,"rain,snow",0.04,39.75,,26.8,23,1028.1,0,39.2,,,,,Clear,clear-night,"16089099999,16022099999,16090099999"
"trento, Italy",2007-02-03T03:00:00,-1.6,-7.9,-5.2,76.51,0,0,"rain,snow",0.04,39.79,,25,14,1028.1,0,39.2,,,,,Clear,clear-night,"16089099999,16022099999,16090099999"
"trento, Italy",2007-02-03T04:00:00,-0.4,-6.9,-4.7,72.73,0,0,"rain,snow",0.04,39.83,,29.1,4,,0,38.5,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16021099999"
"trento, Italy",2007-02-03T05:00:00,-0.9,-7.7,-4.7,75.38,0,0,"rain,snow",0.04,39.88,,31.1,12,1024.7,0,38.1,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16021099999"
"trento, Italy",2007-02-03T06:00:00,-0.9,-7.5,-4.7,75.18,0,0,"rain,snow",0.04,39.92,,29.2,20,1024.7,0,38.1,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16021099999"
"trento, Italy",2007-02-03T07:00:00,-1.3,-7.1,-4.9,76.27,0,0,"rain,snow",0.04,39.96,,22.2,24,,1.5,37.6,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16021099999,16094099999"
"trento, Italy",2007-02-03T08:00:00,-0.3,-5.8,-4.9,71.38,0,0,"rain,snow",0.04,40,,21,2,1023.4,1.8,55.5,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16021099999,16094099999"
