name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"trento, italy",2006-10-02T00:00:00,9,6.4,8.8,98.92,0,0,,0,0,,17.3,221,1016.9,90,0.2,,,,,Partially cloudy,fog,"16022099999,16090099999,16020099999"
"trento, italy",2006-10-02T01:00:00,9,6.8,8.8,98.8,0,0,,0,0,,14.1,208,1017,90,0.2,,,,,Partially cloudy,fog,"16022099999,16090099999,16020099999"
"trento, italy",2006-10-02T02:00:00,9.1,6.9,8.9,98.59,0,0,,0,0,,15,190,1017,50,0.2,,,,,Partially cloudy,fog,"16022099999,16090099999,16020099999,16021099999"
"trento, italy",2006-10-02T03:00:00,8.9,6.1,8.8,99.15,0,0,,0,0,,19.3,203,1017,90,0.2,,,,,Partially cloudy,fog,"16022099999,16090099999,16020099999"
"trento, italy",2006-10-02T04:00:00,8.8,6.4,8.7,99.64,0,0,,0,0,,15.5,223,1017,90,0.2,,,,,Partially cloudy,fog,"16022099999,16090099999,16020099999"
"trento, italy",2006-10-02T05:00:00,9.3,7.8,9.2,99.32,0,0,,0,0,,10.2,190,1017,80,0.2,,,,,Partially cloudy,fog,"16022099999,16090099999,16020099999,16021099999"
"trento, italy",2006-10-02T06:00:00,9.3,7.8,9.2,99.2,0,0,,0,0,,10.2,203,1018.2,90,0.6,,,,,Partially cloudy,fog,"16022099999,16090099999,16020099999,16021099999"
"trento, italy",2006-10-02T07:00:00,9.5,7.5,9.4,99.2,0,0,,0,0,,13.5,193,1018.2,90,0.6,,,,,Partially cloudy,fog,"16022099999,16090099999,16020099999,16021099999"
"trento, italy",2006-10-02T08:00:00,8.9,6.5,8.8,99.17,0,0,,0,0,,15,203,1016.9,76.8,0.4,,,,,Partially cloudy,fog,"16022099999,16090099999,16020099999,16021099999"
"trento, italy",2006-10-02T09:00:00,8.9,6.6,8.8,99.2,0,0,,0,0,,14.9,199,1018.6,97.4,0.3,,,,,Overcast,fog,"16022099999,16090099999,16020099999,16021099999"
"trento, italy",2006-10-02T10:00:00,9,7.1,8.8,99.07,0,0,,0,0,,11.6,200,1019.3,79.4,0.4,,,,,Partially cloudy,fog,"16022099999,16090099999,16020099999,16021099999"
"trento, italy",2006-10-02T11:00:00,9.1,7,8.9,98.73,0,0,,0,0,,13.4,200,1018,87.4,0.4,,,,,Partially cloudy,fog,"16022099999,16090099999,16020099999,16021099999"
"trento, italy",2006-10-02T12:00:00,9.9,8.3,9.7,98.38,0,0,,0,0,,12,196,1019.6,90,0.4,,,,,Partially cloudy,fog,"16022099999,16090099999,16020099999,16021099999"
"trento, italy",2006-10-02T13:00:00,10.1,10.1,9.6,97.12,0,0,,0,0,,18.9,206,1019.1,90,0.8,,,,,Partially cloudy,fog,"16022099999,16090099999,16020099999,16021099999"
"trento, italy",2006-10-02T14:00:00,10.1,10.1,9.5,96.07,0,0,,0,0,,27,217,1015.9,76.8,0.8,,,,,Partially cloudy,fog,"16022099999,16090099999,16020099999,16021099999"
"trento, italy",2006-10-02T15:00:00,10.2,10.2,9.5,95.4,0,0,,0,0,,27.2,208,1017.6,74.1,0.8,,,,,Partially cloudy,fog,"16022099999,16090099999,16020099999,16021099999"
"trento, italy",2006-10-02T16:00:00,10.2,10.2,9.5,95.4,0,0,,0,0,,26.2,205,1017.1,50,0.8,,,,,Partially cloudy,fog,"16022099999,16090099999,16020099999,16021099999"
"trento, italy",2006-10-02T17:00:00,10.3,10.3,9.5,95.37,0,0,,0,0,,26,206,1013.9,52.6,0.8,,,,,Partially cloudy,fog,"16022099999,16090099999,16020099999,16021099999"
"trento, italy",2006-10-02T18:00:00,10.3,10.3,9.7,96.09,0,0,,0,0,,21.2,197,1016.6,60.6,0.8,,,,,Partially cloudy,fog,"16022099999,16090099999,16020099999,16021099999"
"trento, italy",2006-10-02T19:00:00,9.9,7,9.4,96.56,0,0,,0,0,,22.7,209,1016.6,50,0.8,,,,,Partially cloudy,fog,"16022099999,16090099999,16020099999,16021099999"
"trento, italy",2006-10-02T20:00:00,9.6,7,9.2,97.36,0,0,,0,0,,19.3,205,1013.9,52.6,0.8,,,,,Partially cloudy,fog,"16022099999,16090099999,16020099999,16021099999"
"trento, italy",2006-10-02T21:00:00,8.8,6.2,8.5,97.5,0,0,,0,0,,17.5,198,1014.4,79.4,1.7,,,,,Partially cloudy,partly-cloudy-night,"16022099999,16090099999,16020099999"
"trento, italy",2006-10-02T22:00:00,8.1,5.1,7.8,97.72,0,0,,0,0,,19.7,199,1014.4,79.4,1.7,,,,,Partially cloudy,partly-cloudy-night,"16022099999,16090099999,16020099999"
"trento, italy",2006-10-02T23:00:00,8.8,5.4,8.4,97.41,0,0,,0,0,,25.7,205,1013.9,82.1,0.8,,,,,Partially cloudy,fog,"16022099999,16090099999,16020099999,16021099999"
"trento, italy",2006-10-03T00:00:00,8.8,5.2,8.4,97.85,0,0,,0,0,,27.7,212,1014.2,,0.2,,,,,Clear,fog,"16022099999,16090099999,16020099999"
"trento, italy",2006-10-03T01:00:00,9,5.9,8.7,97.86,0,0,,0,0,,22.9,202,1014.2,,0.2,,,,,Clear,fog,"16022099999,16090099999,16020099999"
"trento, italy",2006-10-03T02:00:00,8.8,5.7,8.6,98.23,0,0,,0,0,,22.1,205,1013,0,0.2,,,,,Clear,fog,"16022099999,16090099999,16020099999,16021099999"
"trento, italy",2006-10-03T03:00:00,9,5.8,8.7,97.86,0,0,,0,0,,24.2,206,1013.2,50,0.2,,,,,Partially cloudy,fog,"16022099999,16090099999,16020099999"
"trento, italy",2006-10-03T04:00:00,8.8,5.5,8.6,98.57,0,0,,0,0,,24.2,187,1012.5,50,0.2,,,,,Partially cloudy,fog,"16022099999,16090099999,16020099999"
"trento, italy",2006-10-03T05:00:00,8.7,5.1,8.4,98.43,0,0,,0,0,,27.2,221,1012,40,0.2,,,,,Partially cloudy,fog,"16022099999,16090099999,16020099999,16021099999"
"trento, italy",2006-10-03T06:00:00,8.8,5.3,8.6,98.16,0,0,,0,0,,27.4,213,1013.5,79.4,0.8,,,,,Partially cloudy,fog,"16022099999,16090099999,16020099999,16021099999"
"trento, italy",2006-10-03T07:00:00,8.8,5.5,8.6,98.96,0,0,,0,0,,24.2,184,1013.5,79.4,0.8,,,,,Partially cloudy,fog,"16022099999,16090099999,16020099999,16021099999"
