name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"trento, Italy",2006-11-12T00:00:00,2.9,-1.1,-5.4,54.11,0,0,,0,0,,17.1,240,1020,10.8,29.5,,,,,Clear,clear-night,"16022099999,16090099999,16020099999"
"trento, Italy",2006-11-12T01:00:00,2.9,1.8,-5.4,54.36,0,0,,0,0,,4.8,230,1020,2.8,28.9,,,,,Clear,clear-night,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-12T02:00:00,2.9,1.7,-6.3,50.85,0,0,,0,0,,5.1,243,1019,1,29.5,,,,,Clear,clear-night,"16022099999,16090099999,16020099999"
"trento, Italy",2006-11-12T03:00:00,2.9,1.7,-5.4,54.32,0,0,,0,0,,5,243,1018,1.8,29.5,,,,,Clear,clear-night,"16022099999,16090099999,16020099999"
"trento, Italy",2006-11-12T04:00:00,2.7,2.7,-6.1,52.25,0,0,,0,0,,0.2,340,1017,3,29.1,,,,,Clear,clear-night,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-12T05:00:00,2.7,2.7,-4.5,59.11,0,0,,0,0,,0,350,1016,11.6,29.5,,,,,Clear,clear-night,"16022099999,16090099999,16020099999"
"trento, Italy",2006-11-12T06:00:00,2.7,2.7,-5.6,54.46,0,0,,0,0,,0,,1011.9,31.9,28.8,,,,,Partially cloudy,partly-cloudy-night,"16022099999,16090099999,16021099999"
"trento, Italy",2006-11-12T07:00:00,3,3,-6.4,50.33,0,0,,0,0,,0,,1014.9,80.2,37.1,,,,,Partially cloudy,partly-cloudy-night,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-12T08:00:00,2.9,1.7,-6.3,50.64,0,0,,0,0,,5.1,301,1012.8,60,36.8,,,,,Partially cloudy,partly-cloudy-day,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-12T09:00:00,2.9,2.9,-5.3,55.15,0,0,,0,0,,0.3,360,1012.8,50.1,45.8,,,,,Partially cloudy,partly-cloudy-day,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-12T10:00:00,3.4,3.4,-5.6,51.92,0,0,,0,0,,0.3,260,1013.9,39.3,48,,,,,Partially cloudy,partly-cloudy-day,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-12T11:00:00,3.5,1.5,-4.3,56.65,0,0,,0,0,,7.5,37,1011.3,29.4,45.8,,,,,Partially cloudy,partly-cloudy-day,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-12T12:00:00,4.2,2.7,-6,47.58,0,0,,0,0,,6.4,286,1010.7,30,54.8,,,,,Partially cloudy,partly-cloudy-day,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-12T13:00:00,4.2,2.7,-6.1,47.25,0,0,,0,0,,6.4,316,1010.2,29.6,56.9,,,,,Partially cloudy,partly-cloudy-day,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-12T14:00:00,3.8,1.7,-6.8,45.98,0,0,,0,0,,8.1,307,1008.6,2.6,45.8,,,,,Clear,clear-day,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-12T15:00:00,3.5,-0.1,-7,46.33,0,0,,0,0,,14.7,345,1008.6,3.2,45.8,,,,,Clear,clear-day,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-12T16:00:00,2.6,-1.2,-9.2,41.3,0,0,,0,0,,15.3,341,1009.1,49.1,48,,,,,Partially cloudy,partly-cloudy-day,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-12T17:00:00,2.2,-2.2,-10.8,37.74,0,0,,0,0,,18.6,305,1009.2,30.5,45.8,,,,,Partially cloudy,partly-cloudy-night,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-12T18:00:00,1.5,-3.4,-11.6,37.18,0,0,,0,0,,20.2,349,1009.2,30.5,36.8,,,,,Partially cloudy,partly-cloudy-night,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-12T19:00:00,0.9,-3.7,-10.9,40.93,0,0,,0,0,,17.3,349,1010.8,29.5,37.1,,,,,Partially cloudy,partly-cloudy-night,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-12T20:00:00,0,-5.2,-10.2,46.34,0,0,,0,0,,19.7,360,1011.6,38.7,37.7,,,,,Partially cloudy,partly-cloudy-night,"16022099999,16090099999,16020099999"
"trento, Italy",2006-11-12T21:00:00,-1,-7.3,-9.1,53.96,0,0,,0,0,,26.5,360,1012.3,29.4,37.7,,,,,Partially cloudy,partly-cloudy-night,"16022099999,16090099999,16020099999"
"trento, Italy",2006-11-12T22:00:00,-1.9,-9,-9.8,54.67,0,0,,0,0,,30,357,1013.9,0,37.1,,,,,Clear,clear-night,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-12T23:00:00,-2.1,-9,-14.5,38.24,0,0,,0,0,,28.2,12,1013.4,0,37.7,,,,,Clear,clear-night,"16022099999,16090099999,16020099999"
"trento, Italy",2006-11-13T00:00:00,-3.5,-9.8,-12.4,49.84,0,0,,0,0,,21.1,29,1013.7,0,39.2,,,,,Clear,clear-night,"16022099999,16090099999,16020099999"
"trento, Italy",2006-11-13T01:00:00,-3.7,-9.4,-13.1,48.01,0,0,,0,0,,17.1,19,1014,0,38.6,,,,,Clear,clear-night,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-13T02:00:00,-4,-10.2,-13.1,49.36,0,0,,0,0,,19.6,19,1013.7,0,39.3,,,,,Clear,clear-night,"16022099999,16090099999,16020099999"
"trento, Italy",2006-11-13T03:00:00,-4.2,-10.1,-12.9,50.94,0,0,,0,0,,17.6,9,1013.7,0,39.3,,,,,Clear,clear-night,"16022099999,16090099999,16020099999"
"trento, Italy",2006-11-13T04:00:00,-4.2,-9.9,-13.5,48.44,0,0,,0,0,,16.8,29,1014,0,38.6,,,,,Clear,clear-night,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-13T05:00:00,-4.5,-10,-12.8,52.34,0,0,,0,0,,15,28,1011.9,29.4,38.3,,,,,Partially cloudy,partly-cloudy-night,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-13T06:00:00,-4.4,-9.9,-13.5,49.35,0,0,,0,0,,15.1,22,1012.7,29.4,36.8,,,,,Partially cloudy,partly-cloudy-night,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-13T07:00:00,-3.8,-3.8,-12.8,49.68,0,0,,0,0,,3.6,28,1014.9,29.4,56,,,,,Partially cloudy,partly-cloudy-night,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-13T08:00:00,-3.1,-3.1,-11.1,54.02,0,0,,0,0,,0.1,,1013.7,0,54.7,,,,,Clear,clear-day,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-13T09:00:00,-1.6,-3.4,-9.3,55.66,0,0,,0,0,,4.9,80,1013.9,0,66.7,,,,,Clear,clear-day,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-13T10:00:00,-0.6,-0.6,-8.6,54.48,0,0,,0,0,,0.3,170,1015.9,0.4,57,,,,,Clear,clear-day,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-13T11:00:00,0.6,-1.7,-8.6,50.15,0,0,,0,0,,7,189,1014.2,0,63.7,,,,,Clear,clear-day,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-13T12:00:00,1.1,1.1,-8.1,50.09,0,0,,0,0,,0.5,150,1014.2,0,63.7,,,,,Clear,clear-day,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-13T13:00:00,1.9,0.3,-7.5,49.62,0,0,,0,0,,5.6,190,1014.9,29.8,65.9,,,,,Partially cloudy,partly-cloudy-day,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-13T14:00:00,2.1,0,-7.9,47.55,0,0,,0,0,,7.3,207,1013.3,39.6,57.2,,,,,Partially cloudy,partly-cloudy-day,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-13T15:00:00,2,-1,-8,47.21,0,0,,0,0,,10.5,207,1013.3,51.1,54.8,,,,,Partially cloudy,partly-cloudy-day,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-13T16:00:00,2.6,-2.2,-7.1,48.69,0,0,,0,0,,22,240,1013.9,43.2,57,,,,,Partially cloudy,partly-cloudy-day,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-13T17:00:00,1.9,-2.2,-7.1,51.5,0,0,,0,0,,15.3,224,1014.1,51.2,54.7,,,,,Partially cloudy,partly-cloudy-night,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-13T18:00:00,1.9,-2.3,-6.6,53.42,0,0,,0,0,,16.5,210,1014.1,32.6,45.8,,,,,Partially cloudy,partly-cloudy-night,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-13T19:00:00,1.9,-2.3,-6.6,53.22,0,0,,0,0,,16.7,240,1015.9,2.6,37.1,,,,,Clear,clear-night,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-13T20:00:00,1.9,-2.7,-6.6,53.41,0,0,,0,0,,19.2,213,1015.9,0,37.7,,,,,Clear,clear-night,"16022099999,16090099999,16020099999"
"trento, Italy",2006-11-13T21:00:00,2,-2.3,-5.7,56.77,0,0,,0,0,,17.2,213,1016.6,0,37.7,,,,,Clear,clear-night,"16022099999,16090099999,16020099999"
"trento, Italy",2006-11-13T22:00:00,2.2,-2.3,-5.2,58.38,0,0,,0,0,,18.7,213,1017,0,38.6,,,,,Clear,clear-night,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-13T23:00:00,2.8,-1.8,-4.5,58.66,0,0,,0,0,,21,242,1016.9,0,37.7,,,,,Clear,clear-night,"16022099999,16090099999,16020099999"
"trento, Italy",2006-11-14T00:00:00,3.5,0.4,-4.1,57.63,0,0,,0,0,,12.3,213,1017,0,39.2,,,,,Clear,clear-night,"16022099999,16090099999,16020099999"
"trento, Italy",2006-11-14T01:00:00,3.8,1,-3.9,57.42,0,0,,0,0,,10.7,216,1017,0,38.6,,,,,Clear,clear-night,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-14T02:00:00,3.8,1.5,-4.6,54.42,0,0,,0,0,,8.8,213,1017.7,0,39.2,,,,,Clear,clear-night,"16022099999,16090099999,16020099999"
"trento, Italy",2006-11-14T03:00:00,3.8,2,-5,52.56,0,0,,0,0,,7.2,203,1017.7,0,39.2,,,,,Clear,clear-night,"16022099999,16090099999,16020099999"
"trento, Italy",2006-11-14T04:00:00,4.8,2.8,-3.4,55.43,0,0,,0,0,,8.5,357,1018,39.6,38.6,,,,,Partially cloudy,partly-cloudy-night,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-14T05:00:00,5,3,-3.6,53.9,0,0,,0,0,,8.5,353,1016.1,49,38.2,,,,,Partially cloudy,partly-cloudy-night,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-14T06:00:00,4.7,2.3,-3.3,55.88,0,0,,0,0,,10.4,9,1016.1,58.8,36.8,,,,,Partially cloudy,partly-cloudy-night,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-14T07:00:00,4.4,4.4,-3.5,56.45,0,0,,0,0,,0.3,40,1018,40.4,46.4,,,,,Partially cloudy,partly-cloudy-night,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-14T08:00:00,4.6,3.6,-3.5,55.77,0,0,,0,0,,5.1,98,1017.2,29.4,63.7,,,,,Partially cloudy,partly-cloudy-day,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-14T09:00:00,5.2,5.2,-2.6,57.14,0,0,,0,0,,0.2,20,1017.3,1.6,45.7,,,,,Clear,clear-day,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-14T10:00:00,5.8,5.8,-2.6,55.09,0,0,,0,0,,0.2,300,1019,2.6,56.9,,,,,Clear,clear-day,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-14T11:00:00,7.5,5.6,-0.7,56.29,0,0,,0,0,,10.2,208,1017.7,39.8,54.7,,,,,Partially cloudy,partly-cloudy-day,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-14T12:00:00,7.8,5.7,-0.7,54.95,0,0,,0,0,,12,229,1017.7,49.1,54.7,,,,,Partially cloudy,partly-cloudy-day,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-14T13:00:00,9.1,7,-0.5,51.06,0,0,,0,0,,13.6,239,1018,49.4,48,,,,,Partially cloudy,partly-cloudy-day,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-14T14:00:00,9.1,7.9,-0.3,51.78,0,0,,0,0,,8.5,229,1017.5,49.1,45.7,,,,,Partially cloudy,partly-cloudy-day,"16022099999,16090099999,16020099999,16021099999"
"trento, Italy",2006-11-14T15:00:00,9.4,8.5,-0.1,51.46,0,0,,0,0,,7.2,238,1018.2,40.1,54.7,,,,,Partially cloudy,partly-cloudy-day,"16022099999,16090099999,16020099999,16021099999"
