name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"trento, italy",2006-12-23T00:00:00,-0.8,-6.9,-23.2,16.46,0,0,,0,21.25,,25.5,359,1037.7,0,49.2,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16020099999"
"trento, italy",2006-12-23T01:00:00,-0.6,-6.6,-22.2,17.68,0,0,,0,21.16,,24.7,358,1038,0,48.2,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16020099999,16021099999"
"trento, italy",2006-12-23T02:00:00,-0.7,-6.2,-22.8,16.91,0,0,,0,21.08,,20.7,353,1037.7,0,49.2,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16020099999"
"trento, italy",2006-12-23T03:00:00,-0.7,-6.2,-21.9,18.3,0,0,,0,21,,20.8,3,1037.7,0,49.2,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16020099999"
"trento, italy",2006-12-23T04:00:00,-0.9,-5.9,-22,18.52,0,0,,0,20.92,,17,10,1038,0,48.6,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16020099999,16021099999"
"trento, italy",2006-12-23T05:00:00,-1,-5.6,-20.7,20.8,0,0,,0,20.84,,15.3,350,1035.8,0,47.8,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16020099999,16021099999"
"trento, italy",2006-12-23T06:00:00,-1.1,-6.5,-18.4,25.68,0,0,,0,20.76,,19.2,8,1036.6,0,45.8,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16020099999,16021099999"
"trento, italy",2006-12-23T07:00:00,-1.1,-6.4,-16.4,30.3,0,0,,0,20.67,,18.8,350,1038.9,0,46.8,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2006-12-23T08:00:00,-1.2,-7,-14.3,36.19,0,0,,0,20.59,,21.8,359,1037.1,0,44.9,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2006-12-23T09:00:00,-1.1,-5.8,-13.8,37.49,0,0,,0,20.43,,15.4,9,1037.1,0,44.9,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2006-12-23T10:00:00,-0.3,-4.5,-13.6,36.01,0,0,,0,20.26,,13.3,360,1040,0,47.7,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2006-12-23T11:00:00,0.6,-3.7,-14.7,30.79,0,0,,0,20.1,,14.8,10,1037.7,0,53.6,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2006-12-23T12:00:00,1.2,-3.2,-14.4,30.21,0,0,,0,19.94,,16.5,8,1037,0,53.6,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2006-12-23T13:00:00,1.8,-2.5,-13.9,30.27,0,0,,0,19.77,,16.4,28,1037.9,0,56.5,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2006-12-23T14:00:00,1.9,-2.6,-13,32.2,0,0,,0,19.61,,18.7,19,1035.2,0,53.6,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2006-12-23T15:00:00,2,-2.3,-12.9,32.32,0,0,,0,19.45,,16.8,7,1034.8,0,53.6,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2006-12-23T16:00:00,1.8,-2.7,-12.2,34.6,0,0,,0,19.28,,18.3,16,1035.9,0,47.9,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2006-12-23T17:00:00,2,-2.2,-11.8,35.19,0,0,,0,19.12,,16.5,24,1034.8,0,44.9,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2006-12-23T18:00:00,1.6,-2.8,-12,35.73,0,0,,0,18.96,,17.4,24,1035.1,0,45.8,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16020099999,16021099999"
"trento, italy",2006-12-23T19:00:00,1.3,-3.1,-12,36.39,0,0,,0,18.79,,17.1,16,1036.9,0,64.5,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16020099999,16021099999"
"trento, italy",2006-12-23T20:00:00,1.2,-3.2,-12,36.53,0,0,,0,18.63,,17,26,1036.4,0,65.6,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16020099999"
"trento, italy",2006-12-23T21:00:00,0.9,-3.6,-11.9,37.89,0,0,,0,18.47,,17.1,16,1036.4,0,65.6,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16020099999"
"trento, italy",2006-12-23T22:00:00,0.6,-3.6,-12.1,37.96,0,0,,0,18.3,,14.9,17,1036.9,0,64.4,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16020099999,16021099999"
"trento, italy",2006-12-23T23:00:00,0.7,-3.5,-12.1,37.76,0,0,,0,18.14,,15.2,16,1037.1,0,65.6,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16020099999"
"trento, italy",2006-12-24T00:00:00,0.1,-4.7,-12.5,38.41,0,0,,0,17.98,,17,16,1036.4,0,68.8,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16020099999"
"trento, italy",2006-12-24T01:00:00,-0.2,-4.8,-13.3,36.57,0,0,,0,17.81,,16.4,18,1037,0,34,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16020099999,16021099999"
"trento, italy",2006-12-24T02:00:00,0,-4.8,-12.4,38.81,0,0,,0,17.65,,17.1,17,1036.2,0,34.5,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16020099999"
"trento, italy",2006-12-24T03:00:00,-0.1,-5.5,-11.8,40.97,0,0,,0,17.49,,20.6,356,1036.2,0,73.7,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16020099999"
"trento, italy",2006-12-24T04:00:00,-0.2,-5.2,-11.9,41.05,0,0,,0,17.32,,18.4,356,1037,0,71.9,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16020099999,16021099999"
"trento, italy",2006-12-24T05:00:00,-0.4,-5.7,-12.3,40.23,0,0,,0,17.16,,19.9,349,1034.1,0,71.4,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16020099999,16021099999"
"trento, italy",2006-12-24T06:00:00,-0.3,-5.7,-12.1,40.51,0,0,,0,17,,20.8,349,1035.1,0,70.3,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16020099999"
"trento, italy",2006-12-24T07:00:00,-0.4,-5.4,-13.3,37.31,0,0,,0,16.83,,17.9,349,1035.9,0,68,,,,,Clear,clear-night,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2006-12-24T08:00:00,-0.4,-5,-14.3,34.25,0,0,,0,16.67,,15.9,347,1033.6,0,62.3,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2006-12-24T09:00:00,-0.2,-5.1,-14.8,32.41,0,0,,0,16.55,,17.9,349,1033.6,0,62.3,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2006-12-24T10:00:00,0.8,-3.6,-13.5,33.31,0,0,,0,16.42,,16.1,358,1035.9,0,69.5,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2006-12-24T11:00:00,1.4,-2.9,-11.6,37.57,0,0,,0,16.3,,16,348,1033.6,0,66.7,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
"trento, italy",2006-12-24T12:00:00,1.8,-2.3,-10.7,38.85,0,0,,0,16.18,,16.1,347,1033.1,0,66.7,,,,,Clear,clear-day,"16089099999,16022099999,16090099999,16020099999,16021099999,16094099999"
